Sample,Color,Width
1,Summersi_dors,132.8742596
1,Summersi_dors,100.0848373
1,Summersi_dors,103.4958559
1,Summersi_dors,101.5314224
1,Summersi_dors,66.03743478
1,Summersi_dors,104.911964
1,Summersi_dors,110.802995
1,Summersi_dors,94.95795652
1,Summersi_dors,81.86043354
1,Summersi_dors,99.99807205
1,Summersi_dors,85.00244348
1,Summersi_dors,93.78059255
1,Summersi_dors,99.59797267
1,Summersi_dors,107.7044422
1,Summersi_dors,108.4113391
1,Summersi_dors,91.98629814
1,Summersi_dors,104.7629292
1,Summersi_dors,60.66641366
1,Summersi_dors,68.00604224
1,Summersi_dors,71.19865714
1,Summersi_dors,95.52302236
1,Summersi_dors,57.85406832
1,Summersi_dors,64.03542857
1,Summersi_dors,39.48376398
1,Summersi_dors,108.8587938
1,Summersi_dors,97.2699354
1,Summersi_dors,118.6855602
1,Summersi_dors,73.07579627
1,Summersi_dors,106.7979876
1,Summersi_dors,108.2190075
1,Summersi_dors,103.7136894
1,Summersi_dors,115.7081329
1,Summersi_dors,39.83395901
1,Summersi_dors,85.8963764
1,Summersi_dors,106.0639714
1,Summersi_dors,96.19311429
1,Summersi_dors,102.0090596
1,Summersi_dors,99.03862733
1,Summersi_dors,100.8451602
1,Summersi_dors,101.2403292
1,Summersi_dors,102.145118
1,Summersi_dors,98.6170323
1,Summersi_dors,65.1907677
1,Summersi_dors,77.65962484
1,Summersi_dors,67.33904721
1,Summersi_dors,100.171528
1,Summersi_dors,69.62065342
1,Summersi_dors,95.52302236
1,Summersi_dors,98.6698323
1,Summersi_dors,85.49120124
1,Summersi_dors,90.38707826
1,Summersi_dors,100.8623739
1,Summersi_dors,111.4435267
1,Summersi_dors,96.19311429
1,Summersi_dors,105.5389006
1,Summersi_dors,135.8716062
1,Summersi_dors,71.70887329
1,Summersi_dors,46.69551801
1,Summersi_dors,97.2699354
1,Summersi_dors,89.53799255
1,Summersi_dors,82.07223354
1,Summersi_dors,99.87647329
1,Summersi_dors,89.51859876
1,Summersi_dors,87.59746211
1,Summersi_dors,60.14911304
1,Summersi_dors,119.167282
1,Summersi_dors,101.0515304
1,Summersi_dors,80.44857019
1,Summersi_dors,130.1683155
1,Summersi_dors,76.96351304
1,Summersi_dors,80.72861739
1,Summersi_dors,103.3615752
1,Summersi_dors,100.3446857
1,Summersi_dors,133.2526137
1,Summersi_dors,95.17709068
1,Summersi_dors,85.49120124
1,Summersi_dors,73.40763727
1,Summersi_dors,114.4105453
1,Summersi_dors,92.6632323
1,Summersi_dors,82.7043764
1,Summersi_dors,88.89585466
1,Summersi_dors,103.3615752
