unique_spec,Pigment,R,G,B
78,Both,255,151,84
78,None,255,242,226
79,A,252,255,130
79,D,255,156,128
79,Both,255,158,91
79,None,246,255,250
80,A,253,255,130
80,D,255,155,126
80,Both,255,158,91
80,None,248,255,250
81,A,255,244,123
81,D,255,152,122
81,Both,255,152,87
81,None,255,245,234
